var,sex,year,mode,sd1,sd2
lle,m,2028,0.227981860814804,0.419089880580834,1.09385319034518
lle,m,2029,0.130269234417311,0.468930036576562,1.22494799064566
lle,m,2030,0.127101928910282,0.408852100919786,1.07503516692737
lle,m,2031,0.0485309554788635,0.447870340303633,1.17082099551401
lle,m,2032,-0.0300400179525582,0.481869531186059,1.27103127642089
lle,m,2033,-0.00729747152485714,0.435219055480196,1.14833067995909
lle,m,2034,-0.0731073429788956,0.46742874428569,1.22736881539028
lle,m,2035,-0.138917214432931,0.49450455138525,1.31836834165726
lle,m,2036,-0.204727085886984,0.528971997801088,1.39783691936413
lle,m,2037,-0.161709866077686,0.483060734452584,1.27495206979726
lle,m,2038,-0.218404664690736,0.5103744125288,1.33903944712956
lle,m,2039,-0.275099463303799,0.533499730419066,1.41477100857002
lle,m,2040,-0.331794261916849,0.564666881174168,1.48878913003762
lle,m,2041,-0.388489060529912,0.592961887926123,1.55848832457676
lle,m,2042,-0.445183859142959,0.619598496330786,1.62227113759142
lle,m,2043,-0.501878657756009,0.646728234703606,1.69256573019323
hle,f,2020,-1.29925192411912,0.476444847342563,0.179473515280399
hle,f,2021,0.138104732832701,0.0366228762459261,0.0954556644444989
hle,f,2022,1.45929349739205,0.547770245635813,1.43881348484704
hle,f,2023,0.766995215657034,0.365267814635669,0.961763260063316
hle,f,2024,0.57356190036596,0.458927225230286,1.2033408794936
hle,f,2025,0.405498960646502,0.371620502878449,0.973332238273481
hle,f,2026,0.320580182001043,0.323057426479148,0.854610217793067
hle,f,2027,0.268919067785159,0.295828599484129,0.777142382432349
hle,f,2028,0.23388678578409,0.27758962356472,0.73528486940539
hle,f,2029,0.168225935639427,0.313988462121628,0.820183990102987
hle,f,2030,0.151822448128685,0.297101943701489,0.77319148247016
hle,f,2031,0.139076178102769,0.279530739632907,0.745410140607296
hle,f,2032,0.128768053066729,0.27602639633731,0.722219885136169
hle,f,2033,0.120166629523592,0.267481843453053,0.701163076592194
hle,f,2034,0.112806443429856,0.257982155097726,0.68613724696742
hle,f,2035,0.106377185423165,0.255608664909114,0.673813558834866
hle,f,2036,0.124667946841992,0.233890310382506,0.619155756149472
hle,f,2037,0.118142234352003,0.23152111132887,0.612056392136136
hle,f,2038,0.112210408726827,0.231076327977737,0.6086621788749
hle,f,2039,0.106767666402082,0.231708009886788,0.605497030559557
hle,f,2040,0.101732493494371,0.229998093179998,0.602265828463221
hle,f,2041,0.113580801623248,0.218363524611616,0.574437903684957
hle,f,2042,0.108517976127184,0.219428048782622,0.573501970492013
hle,f,2043,0.103754078624265,0.218528344363034,0.574892506500152
hle,m,2020,2.98807783169218,0.183231996816577,0.481714705960317
hle,m,2021,1.56227925790639,0.182987553470709,0.485171020904193
hle,m,2022,1.08567682559972,0.185806266919959,0.489160953022212
hle,m,2023,0.846373428662823,0.188136052209445,0.489813056389876
hle,m,2024,0.748159711873529,0.231114226052169,0.606843317130409
hle,m,2025,0.623017800128974,0.223471672703284,0.592047800991743
hle,m,2026,0.53892173844356,0.218905906624878,0.576041675562774
hle,m,2027,0.478280448220502,0.217254294086241,0.566527433065901
hle,m,2028,0.432298390161436,0.214054064826854,0.560848417761751
hle,m,2029,0.396089153545024,0.212474989868474,0.560786813640649
hle,m,2030,0.379317466532436,0.192012710160569,0.506812163411555
hle,m,2031,0.355740465386239,0.194349244744074,0.507902010956174
hle,m,2032,0.335482331867593,0.194920131698057,0.511884320855141
hle,m,2033,0.317831880056301,0.19427906454031,0.516011010367043
hle,m,2034,0.302267573610902,0.197051780976947,0.52005162235752
hle,m,2035,0.288398260275286,0.197334952876849,0.520559162711348
hle,m,2036,0.275924823618311,0.199759589258858,0.522613898252706
hle,m,2037,0.276542936683482,0.190437638836115,0.49915716898656
hle,m,2038,0.266032191312865,0.191878846272318,0.503835008753617
hle,m,2039,0.256331577733053,0.191511106900772,0.504439140771584
hle,m,2040,0.257674491834682,0.184747366680036,0.490777191243843
hle,m,2041,0.24911711710412,0.186866290071902,0.49425518055093
hle,m,2042,0.241083983426635,0.190117492097557,0.501631742179263
hle,m,2043,0.242615042585117,0.183994654945258,0.485809556480228
